Task Name,Model Associated,Order,Description,Tcode Associated
Complete RBA SAQ Questionnaire,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,33,"Gather data and complete RBA SAQ = Responsible Business Alliance, Self-Assessment Questionnaire, validate former year records.
In case earlier RBA SAQ risk rating is incomplete, explain the risk rating",
Complete Self-Assessment Questionnaire (SAQ),12.2.3.1 Evaluate the requirements for strategic requirements 1.00,41,"Gather data and complete SAQ, validate former year records.
In case earlier SAQ risk rating is incomplete, explain the risk rating",
Complete Self-Assessment Questionnaire (SAQ),13.7.2.2 Assess future risks and opportunities 1.00,22,"Gather data and complete SAQ, validate former year records.
In case earlier SAQ risk rating is incomplete, explain the risk rating",
Complete special customer RBA SAQ questionnaire,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,52,"Special questionnaire: Filter RBA related questions (Labor, Ethics, EHS)",
Complete special customer RBA SAQ questionnaire,3.5.2.4 Manage customer relationships 1.00,2,"Special questionnaire: Filter RBA related questions (Labor, Ethics, EHS)",
Complete tool assembly at least 3 times (per tool) with a buddy,4.3.2.2G R&C Execute detailed line schedule (Assembly Testing) 1.00,3,,
"Complete, Close all assignments",5.3.3.5 -PD Complete Service Order ZMPD: PaiD 1.00,8,"Key Activities:
FSE to confirm all Conforming or Non-Conforming activities are closed",SAP FSM: Field Service Management (Application)
Complete/ Update Capex budget templates,9.4.1.2 Develop and approve capital expenditure plans and budgets 1.00,7,,
"Compose email and set MRP change request ""Requested""",4.2.4.4B Distribute Purchase Order 2.00,35,,Fiori F0670: Manage Change Requests for Material Planner - External Procurement (Application)
Conduct bi-weekly meeting to clear aged items,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,28,,
Conduct BU IQ meeting,5.3.2.4 R&C Identify progress on installation service execution 1.00,2,IQ cost and cycle time for each Install are reviewed in the weekly BU IQ meeting,
Conduct BU3 team meeting,5.3.3.1 R&C Conduct service delivery/project review and evaluate success 1.00,3,Meeting is used to monitor the progress of key BU 3 operational targets/activities.,
Conduct demand/supply balance score (spares risk assessment) meeting,4.1.3.1 -SP Create Unconstrained Plan 2.00,24,,
Conduct Intake Meeting,2.1.2.2B Manage Existing Product (PCP - Intake Phase) 1.00,23,To organize intake meeting.,
Conduct Inventory Integrity meeting,4.4.3.5 -CC Track inventory accuracy (Cycle Count) 1.00,14,,
"Conduct meeting with Manufacturing, Engineering and Industrial Engineering teams",4.1.1.5 -SP Define Capacities 2.00,16,,
Conduct monthly Cost Savings Review meeting,4.2.1.5 R&C Analyze organization’s spend profile 1.00,13,,
Conduct QAR (Quarterly Account Reviews),3.5.2.2 R&C Develop sales/key account plan 1.00,5,,
Conduct sales review call with Senior VP Global Sales and Corporate Director Global Sales Operations,3.5.2.3 R&C Manage sales/key account plan 1.00,9,,
"Conduct Sales review conference call between CEO, CFO, KPU heads, Head of BUs, Corporate VP Global Marketing, controllers",3.5.2.3 R&C Manage sales/key account plan 1.00,17,,
Confirm all Task Completed,3.5.4.4B OFE ER Phase: Material Release First [30] + Final [40] 1.00,21,"Key Activity:
Confirm Order BOM completeness by verifying all: Started ETO requests are completed/ implemented in the Order BOM.
Started OFE Change Request are decided upon and reflected in the Order BOM
Material / BOM related remarks on related action list are closed.",SAP IPS OFE Workflow (Order Fullment Equipment Engineering Record) (Inteligent Process System -Workflow engine by LeverX-) (Application)
Confirm appropriation request type,9.4.1.3 Review and approve capital projects and fixed-asset acquisitions 1.00,21,Appropriation request type has been determined upfront by Appropriation requisition requestor,
Confirm budget and purchase requirement,4.2.4.1 Process/Review requisitions 1.00,5,,
Confirm critical supplier nominations,4.2.2.1 R&C Develop sourcing and category management strategies 1.00,7,"The commodity Manager confirm the nominations of the critical suppliers through discussions with the commodity lead, technical supplier management and the corporate director global supply chain.",
Confirm Deletion of Routing,4.1.1.7B Define Production Process (Routing) 3.00,36,,SAP CA98: Deletion of task lists (Application)
Confirm Goods Receipt by scanning shipping label barcode,4.4.2.2A Manage Inbound Material Flow (Goods Receipt) 2.00,12,"Key Activities:
Detailed method depends on the type of warehouse (EWM/IM) and type of supplier Ariba, ICSTO/Non Ariba
Remarks:
MIGO _GR is the default transaction to be used for this task.
(It is a pre-configured setup of the more general usable MIGO transaction which options are only required for limited numbers of cases)","Fiori MIGO_GR: Post Goods Receipt for Project Manager (Commercial Project Management) (Application),
Fiori MIGO: Goods Movement. Post Goods Movement (Application),
SAP ZLE_ HU_TRACKING: HU Tracking Report (Application)"
Confirm Goods Receipt manually,4.4.2.2A Manage Inbound Material Flow (Goods Receipt) 2.00,18,"Key Activities:
Detailed method depends on the type of warehouse (EWM/IM) and type of supplier Ariba, ICSTO/Non Ariba
Remarks:
MIGO _GR is the default transaction to be used transaction for this task.
(It is a pre-configured setup of the more general usable MIGO transaction which options are only required for limited numbers of cases)","Fiori MIGO_GR: Post Goods Receipt for Project Manager (Commercial Project Management) (Application),
Fiori MIGO: Goods Movement. Post Goods Movement (Application)"
Confirm if goods receipts have been performed,9.3.3.3 -AA ADD Process and record fixed-asset additions and retires (Additions) 1.00,8,,Fiori ME23N: Display Purchase Order. Display Purchase Order - Advanced (Application)
Confirm if work is performed,5.3.3.5 -RP>PD Change non Paid (ZMRP) to Paid (ZMPD) Service Order 1.00,5,,SAP FSM: Field Service Management (Application)
Confirm material is removed from service order,5.3.3.5 -PD>RP Change paid (ZMPD) to non paid (ZMRP) Service Order 1.00,20,,Fiori IW32: Change Maintenance Order (Application)
Confirm movement,4.4.3.8A Manage Warehouse Transfers (EWM2IM) 2.00,8,,Fiori /SCWM/PRDO: Outbound Delivery Orders for Warehouse Clerk (Extended Warehouse Management) (Application)
Confirm New Product Hierarchy,2.1.4.6 Manage product/material classification (Create New Product Hierarchy) 1.00,12,Check whether newly created Product Hierarchy meets requirement or not.,
Confirm Putaway,4.4.2.2C Manage Inbound Material Flow (Putaway) 1.00,12,,Fiori /SCWM/RFUI: Test RF Environment for Warehouse Operative (Extended Warehouse Management) (Application)
Confirm Settlement is Executed,5.3.3.5 -RP>RP Change Service Order ZMPR PM Activity Type 1.00,5,,Fiori IW32: Change Maintenance Order (Application)
Confirm Settlement is Executed,5.3.3.5 -RP>PD Change non Paid (ZMRP) to Paid (ZMPD) Service Order 1.00,14,,Fiori IW32: Change Maintenance Order (Application)
Confirm Task to 1000 storage type (Auto Posting Change),4.4.3.8F Manage Warehouse Transfers Returns EWM movement type 262 1.00,3,,
Confirm TBD slots with Demand Management,4.1.2.1 -EQ-TBD Develop baseline demand forecast - Demand Adjustment 1.00,10,,Kinaxis - Collaboration feature (Application)
Confirm TECO Status,5.3.3.5 -RP>RP Change Service Order ZMPR PM Activity Type 1.00,8,TECO: TEchnical COmplete,Fiori IW32: Change Maintenance Order (Application)
Confirm TECO Status,5.3.3.5 -PD>RP Change paid (ZMPD) to non paid (ZMRP) Service Order 1.00,26,,Fiori IW32: Change Maintenance Order (Application)
Confirm TECO Status,5.3.3.5 -RP>PD Change non Paid (ZMRP) to Paid (ZMPD) Service Order 1.00,17,,Fiori IW32: Change Maintenance Order (Application)
Confirm that PO will be within the month,3.5.1.6 R&C Manage opportunity pipeline 1.00,16,,
Consolidate Build Plan changes and penalties in red zone within 90 days,4.1.2.4B Develop available to promise Build Plan 1.00,36,,
Consolidate count status for reporting,9.3.3.8 -3YRLY Track fixed-assets including physical inventory 1.00,5,,
Consolidate input,3.5.2.4 Manage customer relationships 1.00,6,,
Consolidate input,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,56,,
Consolidate RBA SAQ response,3.5.2.4 Manage customer relationships 1.00,26,,
Consolidate RBA SAQ response,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,22,,
Consolidate regional sales review slides,3.5.2.3 R&C Manage sales/key account plan 1.00,14,,
Consult with Project Owner if WBS can be closed,"9.4.2.4 Close/capitalize projects (Z2, Z3, 50) 1.00",6,,
Consume Forecast PIR - Auto Drop,4.1.3.1 -MRP Create Unconstrained Plan 2.00,15,"This is an automated enhancement (aka Auto Drop) consuming (reducing) forecasted material quantities once the real demand is available by Order BOM (related to Sales Order.
In SAP terms:
PIR (Plant Independen Requirement) is consumed, replacing it by actual demand",
Consume Parts/ CKM Kits in FSM,5.3.2.6 Tool/ Parts Installation 1.00,13,"Key Activities:
After physical parts installed, Consume Parts in FSM.
The Parts can only be consumed from the Activity that requested of the Parts",SAP FSM: Field Service Management (Application)
Contact Power User via Teams call,13.8.1.3 Provide BIA help 1.00,16,,MS Office (Application)
Contact the sales representative and align on the corrections,6.3.4.1D Manage Functional Location 1.00,17,"Key activities:
Align on correction with the sales representative",
Continue to complete assigned service tasks,"5.3.1.7 -RP Create Service Order ZMRP: Maintenance, RePair 1.00",9,,
Convert Build Plan into LTP Working File,4.1.3.1 -FCST Create Unconstrained Plan 3.00,7,"LTP: Long Term Planning
Convert Build Plan File into LTP Working File",
Coordinate asset sighting for 60% NBV of assets,9.3.3.8 -YRLY Track fixed-assets including physical inventory 1.00,14,,MS Outlook (Application)
Coordinate data collection former year inputs,3.5.2.4 Manage customer relationships 1.00,21,"Coordinate data collection with EHS and People leaders, RBA SAQs and former year inputs",
Coordinate data collection former year inputs,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,17,"Coordinate data collection with EHS and People leaders, RBA SAQs and former year inputs",
Coordinate fixed assets pre-counts,9.3.3.8 -3YRLY Track fixed-assets including physical inventory 1.00,31,,MS Outlook (Application)
Copy Initial/ delta Demand data to eSPP staging,4.1.2.1 -SP Develop baseline demand forecasts 2.00,3,,"Fiori /SAPAPO/PE_LOG_DISP: Display Logs - Service Manager (Application),
Fiori /SAPAPO/PE_RUN: Manage Planning Services (Application),
SAP /SAPAPO/SDDEMCOPY: Transaction for SD Demand Copy (Application)"
Correct any minor mistakes administratively,13.1.1.2 Establish and maintain process tools and templates 1.00,2,See the predefined QC queries and explanation in the Wiki (see Links),
Correct Assembly or Test Issue,4.3.2.2F Execute detailed line schedule (exception handling 1.00,6,,
Correct booked time,5.3.2.6E Time Booking 2.00,8,"Key Activities:
Correct booked time based on input by reviewer",SAP FSM: Field Service Management (Application)
Correct booked time,5.3.2.6E Time Booking 2.00,24,"Key Activities:
GSS will correct booked time (Date)",Fiori IW46: Postprocessing Incorrect Confirmations for Maintenance Planner (Application)
Correct Errors,2.5.1.2.2 Review MBOM 1.00,10,Ticket Creator investigates the issue and resolves (uses IPS event log),SAP Event Log Viewer org (Application)
Correct Errors,2.5.1.2.4 Review Production Order 1.00,26,Correct error as listed in the IPS event log.,IPS (LeverX) (Inteligent Process System -workflow engine-) (Application)
Correct Errors,2.5.1.2.4 Review Production Order 1.00,22,Ticket Creator investigates the issue and resolves (uses IPS event log),SAP Event Log Viewer org (Application)
Correct Errors,2.5.1.2.2 Review MBOM 1.00,8,Ticket Creator investigates the issue and resolves (uses IPS event log),SAP Event Log Viewer org (Application)
Correct PIR or source list manually,4.2.4.3 Solicit/Track Vendor Quotes 3.00,23,,"Fiori ME01: ME01 (maintain source list) (Application),
Fiori ME12: Change Purchasing Info Record for Purchaser (Application)"
Correct the RTS List,4.3.2.1 Manage raw material inventory (Material Movements from Mfg Floor) 2.00,12,,
Create & maintain Constraints at MF Sites,4.1.1.5 -SP Define Capacities 2.00,3,,
Create & update WBS,9.1.2.7 (#TBD#) Create project account codes 1.00,3,WBS: Work Breakdown Structure (Aka Project),Fiori CJ20N: Project Builder (Application)
Create (follow-up) PR type ZNB to cover actual cleaning and assembly fees,4.4.2.6 Salvage or repair returned products (CKM Kit Cleaning) 1.00,25,Key activities:,SAP ZMMR_PR_UPLOAD: Upload Program for PR Creation (Application)
Create (follow-up) PR type ZRR (Subcon) to issue additional material (fallout replacements),4.4.2.6 Salvage or repair returned products (CKM Kit Cleaning) 1.00,36,"Key activities:
Create a Purchase Requisition of type ZRR (subcon) containing:
Approved additional materials as request by supplier",SAP ZMMR_PR_UPLOAD: Upload Program for PR Creation (Application)
Create / change activity type [Manage Activity Type],9.1.3.1 -AT Determine key cost drivers (Maintain Activity Type) 1.00,10,,"Fiori F1605A: Manage Activity Types (Version 2) for Cost Accountant - Overhead (Application),
SAP KL01: Create Activity Type (Application),
SAP KL02: Change Activity Type (Application)"
Create / change cost center [Manage Cost Center],9.1.3.1 -CC Determine key cost drivers (Maintain Cost Center) 1.00,13,"Upon receiving the approval, the consolidation & reporting manager would create the requested cost center in the system.","SAP KS01: Create cost center (Application),
SAP KS02: Change cost center (Application)"
Create / update appropriation request,9.4.1.3 Review and approve capital projects and fixed-asset acquisitions 1.00,4,"For 50 CKM, requester is required to indicate the CKM level and attach documents like revenue, cashflow analysis, expense forecast, BOM to the appropriation request.
For Z2 CAPEX, documents attached to appropriation request include quotation and other relevant approvals/ supporting documents
For Z3 R&D, documents attached to appropriation request include IFRS R&D Project Classification Checklist.",SAP IMA11: Individual Processing (Application)
Create / Update Bank Accounts,9.7.3.1 -HSE Manage in-house bank accounts for subsidiaries (Manage House Bank and Bank Account) 2.00,6,"If the House Bank existed, then Treasury Team will create or close the Bank Account.",Fiori F1366A: Manage Bank Accounts for Cash Manager (Application)
Create / Update Bank Chain,9.7.3.1 -MSTR Manage in-house bank accounts for subsidiaries (Manage Bank Master) 2.00,28,"If Intermediary Bank is needed, MDM Team will create/ update bank chain.",SAP FIBPU: Maintain Bank Chains for Partner (Application)
Create / Update House Bank,9.7.3.1 -HSE Manage in-house bank accounts for subsidiaries (Manage House Bank and Bank Account) 2.00,14,"If the House Bank existed, then Treasury Team will create or close the Bank Account.",Fiori FI12_HBANK: Manage House Banks (Application)
Create / Update SKF (Statistical Key Figure),9.1.3.1 -SKF Determine key cost drivers (Maintain Statistical Key Figure) 1.00,4,"Key action(s): Create/ update the relevant SKF object (aka cost driver) in the system.
Attention: SKF dependent figures, controlled via Allocation Rule will be updated as part of the subsequent process: 9.1.3.2 Measure Cost Drivers","SAP KK01: Create Statistical Figure (Application),
SAP KK02: Change Statistical Figure (Application)"
Create Actual Customer Billing,9.2.3.2 -DWNPMT Receive/Deposit customer payments (Down Payment from Customers) 1.00,4,"After delivery of the goods, system will create the actual Customer Billing via automated batch job on daily basis.",Fiori VF01: Create Billing Documents. Create Billing Documents - VF01 (Application)
Create Ad-hoc Invoice,9.2.2.2 -INV Generate customer billing data 1.00,19,FSS AR team to create Customer Invoice using T-code FB70,Fiori FB70: Create Outgoing Invoices for Accounts Receivable Accountant (Application)
Create and Apply MRP Change Request to Update PO,4.2.4.4B Distribute Purchase Order 2.00,17,,SAP ZMM_MRP_CR: MRP Change Request (Application)
Create and Confirm warehouse task,4.4.3.8D Manage Warehouse Transfers Bin Management in EWM 1.00,4,,"Fiori /SCWM/RFUI: Test RF Environment for Warehouse Operative (Extended Warehouse Management) (Application),
RFID Scanner (Application)"
Create and Release Service Order type ZMKM (Complete Kit Management),5.3.1.7 -KM Create Service Order ZMKM: Complete Kit Management 2.00,2,"Key activities:
Create CKM service call in FSM
The system will auto release after service order is saved","SAP FSM: Field Service Management (Application),
SAP WFM: Work Force Management (Application)"
Create ARM Credit Memo,6.2.4.1 -SP Process returns (ARM) 1.00,54,"Upon Save a Customer credit check take place that may raise a flag and block progress.
credit check does not take place for return orders","Fiori VA01: Create Credit Memo Requests - W/o Preceding Document. Create Customer Return Without Reference - VA01. Create Debit Memo Requests - W/o Preceding Document. Create Sales Orders. Create Sales Orders - Intercompany. Create Sales Orders (Application),
Fiori VA02: Change Credit Memo Request. Change Debit Memo Request. Change Sales Order Without Charge. Change Sales Orders. Change Sales Orders - VA02 (Application)"
Create ARM Replacement Order,6.2.4.1 -SP Process returns (ARM) 1.00,44,,"Fiori VA01: Create Credit Memo Requests - W/o Preceding Document. Create Customer Return Without Reference - VA01. Create Debit Memo Requests - W/o Preceding Document. Create Sales Orders. Create Sales Orders - Intercompany. Create Sales Orders (Application),
Fiori VA02: Change Credit Memo Request. Change Debit Memo Request. Change Sales Order Without Charge. Change Sales Orders. Change Sales Orders - VA02 (Application)"
Create asset,9.3.3.2 Maintain fixed-asset master data files 1.00,2,"When AUC is completed, final asset will be created.
During asset count, a new asset will be created to correct asset classification errors.","Fiori AS01: Create Asset for Asset Accountant (Application),
Fiori AW01N: Asset Values for Asset Accountant (Application)"
Create baseline for Ethics and Labor compliance,11.2.2.2 Identify applicable regulatory requirements 1.00,2,,
Create BIA SharePoint workspace,13.8.7A Create data models (creation BIA report) 1.00,25,"Promoted data sets are data sets which needs manual interaction before connected to Power BI. In most cases these are downloads from BI portal.
In most cases these data are stored in separate SharePoint folders at the BIA SharePoint site. IT will create a workspace and control the access for the Power user only.",
Create Bills of Distribution / Inventory Balancing Area and assign to active model,4.1.5.1 -SP Maintain Master data 2.00,31,,"Fiori /SAPAPO/RELHSHOW: Define Transportation Zone Hierarchy Maintain Hierarchy (Application),
SAP /SAPAPO/BOD001: Maintain BOD (Application),
SAP /SAPAPO/TRIGGER: Trigger (Application)"
Create Calibration Maintenance Plan,4.1.8.2C Create Calibration Plan and schedule 2.00,7,"Maintenance Plan Cycle
Enter Cycle in the Maintenance Plan cycle which is the frequency of the Calibration under Maintenance plan cycle
Upon entering the equipment number the planning data will be copied automatically except the order type.
Click on Settlement Rule to populate the Settlement Profile.
Task list to be assigned to calibration plan
Enter maintenance plan scheduling Parameters
Navigate to the Maintenance plan scheduling parameters tab and provide the scheduling parameters.
In this case, the maintenance order will be generated when 92% of the cycle has elapsed, or 999 days before the due date.
The Call Horizon determines when the maintenance order should be generated relative to the plan date and is expressed as a %.
The Scheduling Indicator defines the basis for scheduling. Time-based means maintenance is scheduled based on calendar days.
Example:
•In this screenshot one month before the due date the calibration to be created •The percentage to be calibrated 92% (11/12months)•Scheduling period the Equipment life (if not known it will be 999 months). If 10 yrs. (120 months)•Enter start of Cycle – Last Calibration date.",Fiori IP41: Add single plan for Service Planner - Recurring Service (Application)
Create calibration order,4.3.3.1 Calibrate Test Equipment (Internal) 1.00,2,,Fiori IW31: Create Order (Application)
Create Change Master,4.1.3.1 -FCST Create Unconstrained Plan 3.00,24,,Fiori CC01: Copy Change Master. Create Change Master (Application)
Create CKM Materials and BOM,E2E CKM 1.00,5,,
Create collaboration room with SCR number,13.3.3.1 -SCR Assess potential impact (Supplier change request) 1.00,11,,SAP EPD: Enterprise Product Development (Application)
Create Condition Record,4.2.3.4D Manage Purchasing Price (Freight adder) 3.00,25,,"Fiori MEK1: Create Price Conditions - Purchasing (Application),
Fiori MEK3: Display Price Conditions (Application)"
Create cost estimate based on PIR,9.1.2.4 -NEW BUY Perform product costing (New Buy Part) 1.00,25,This task/step is automated and performed by the program to create standard cost run (CK40N) which is embedded in the F program.,SAP ZFI_STDCOST_UPD: Material Cost and P-S Status Update (Application)
Create cost estimate based on Subcon BOM & PIR,9.1.2.4 -NEW BUY Perform product costing (New Buy Part) 1.00,10,This task/step is automated and performed by the program to create cost estimate which is embedded in the F program.,SAP ZFI_STDCOST_UPD: Material Cost and P-S Status Update (Application)
Create critical supplier list,4.2.2.1 R&C Develop sourcing and category management strategies 1.00,8,,
Create DMR (Dynamic Modification Rule),4.1.8.1D Dynamic Modification Rule (DMR) 1.00,4,Create DMR rule for the part,Fiori QDR1: Create Dynamic Modification Rule for Quality Planner (Application)
Create early/ down payment request in WMD,9.6.1.3 -DWNPMT Audit invoices and key data in AP system (Early/ Down Payment) 1.00,43,,"Fiori F-47: Create Supplier Down Payment Requests (Application),
SAP /WMD/FP_INVM: Invoice Monitoring (Application)"
Create Equipment Master,4.1.8.1H Establish Quality Targets (Create Equipment Master for Tools under calibration ) 2.00,4,"While creating equipment master/new equipment select the equipment category Q (Q represents Test/measurement equipment
Enter below information
1.Select the Equipment category as Equipment number is generated automatically upon pressing the enter.
2.Enter the Description of the equipment
Equipment master is to be identified with General data in which is manufacturer’s data: •Manufacturer and country it is registered •Model Number •Manufacturer part number •Manufacturer Serial number 3.Enter the location data -(Where the equipment is located ) Location data: Consists of Plant : 8200/ 3300/1000
Corresponding locations
Work center to be added 4.Org Data:Account Assignment data•Company Code•Cost center 5.Responsibilities •Planning plan•Planner GroupMain. Work center with Plant(Calib001 is default) 6.Add person responsible under Partners tab","Fiori IE01: Create Equipment for Technical Officer - Armed Forces (Application),
SAP IE01_ISU_C: Create Equipment (Application)"
Create Equipment PRT's (Production Resources/Tool),4.1.1.7D Define Production Process (Equipment PRT - Production Resources/Tools) 1.00,19,,Fiori IE01: Create Equipment for Technical Officer - Armed Forces (Application)
Create equipment task list header general view,4.1.8.2D Create Equipment Task List 2.00,4,"On the header screen, provide the necessary details such as Planning Plant, Main Work Center, and other relevant information.
Main fields in this will be auto populated from equipment master
•Equipment description•Work center•Group and group Counter
Usage and Status fields should be filled in >Default value 4",Fiori IA01: Create Equipment Task List (Application)
Create Estimate Quotation (Optional),5.3.1.7 -PD Create Service Order ZMPD: PaiD 2.00,24,"Key Activitie(s):
Review the Service Order details related to the notification
Determine the existence of contracts conditions with customer
Determine effort and create estimate quotation
This quotation will be created with reference to service order/ service notification.",Fiori IW32: Change Maintenance Order (Application)
Create Evaluation Requests,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,2,"Key Activities:
Request Commodity Manager / Buyer for supplier evaluation
(scorecard back page)",Fiori F2193: Manage Templates for Strategic Buyer (Application)
Create Extended warranty contract manually along with validity dates,5.3.3.5 -IQ Complete Service Order ZMIQ: Install & Qualification 1.00,39,"Key Activites:
GSS team create extended warranty contract along with validity dates",Fiori VA42: Change Contract (Application)
Create Final Acceptance notification (ZV),5.3.3.5 -IQ Complete Service Order ZMIQ: Install & Qualification 1.00,14,"Key Activities:
Service manager to Create Final Acceptance",Fiori IW51: Create Service Notification-General (Application)
Create final asset in WBS,9.3.3.3 -AA ADD Process and record fixed-asset additions and retires (Additions) 1.00,13,"From the WBS, we can select to create the final asset number. Once the final asset number is created, this final asset number will be populated into the settlement rule.",Fiori AS01: Create Asset for Asset Accountant (Application)
Create Forecast BOM from Parent Material,4.1.3.1 -FCST Create Unconstrained Plan 3.00,35,,Fiori CS01: Create Bill of Material (Application)
Create Functional Location,6.3.4.1D Manage Functional Location 1.00,8,"Key activities:
Create the Functional Location",Fiori IL08: Create Functional Location (Application)
Create general data of Vendor Appraisal template,4.2.5.2A Prepare/Analyze procurement and vendor performance 2.00,11,"Key activities:
Determine per supplier:Appraisers / Commodity Manager
Applicable Questionnaire / Scoring",Fiori F2193: Manage Templates for Strategic Buyer (Application)
Create General Ledger Account for Bank,9.7.3.1 -HSE Manage in-house bank accounts for subsidiaries (Manage House Bank and Bank Account) 2.00,27,"If the required GL Account does not exist, then FSS – Finance Operation Team will create the GL Account","Fiori F0731A: Manage G/L Account Master Data (Version 2) for General Ledger Accountant (Application),
Fiori FS02: Manage G/L Account Master Data for General Ledger Accountant (Application)"
Create GTC checklist,11.2.2.6A Monitor and test regulatory compliance position and existing controls 1.00,9,"Key activities:
Create DIR checklist for FEMS & CM to perform audit based on Trade requirements for SMIC affiliates.
Link checklist for FEMS to routing. CM
Applicable for MIT module & RFK",SAP IPS OFE Workflow (Order Fullment Equipment Engineering Record) (Inteligent Process System -Workflow engine by LeverX-) (Application)
Create IBase by Good Receipt of Production Order,6.3.4.1G Installed Base 1.00,3,"Key activitie(s):
This is an automated task",
Create Inbound Delivery in the receiving plant,"4.4.4.1 Plan, transport and deliver outbound product 2.00",39,,"Fiori VL31N: Create Inbound Delivery (Application),
Fiori VL32N: Change Inbound Delivery (Application),
Fiori VL33N: Display Inbound Delivery (Application)"
Create Indirect Production Order,4.3.1.2 Generate line level plan (Prod.Ord. create and modify) 2.00,51,"Create Indirect Production Order
Indirect Production orders are used in ASMI to track the manufacturing training requests (in FEMS). This is created on training requirements and is an ad hoc activity.
Assign Order Settlement charge to the cost object",Fiori CO07: Production Order without Material - Create for Production Supervisor - Discrete Manufacturing (Application)
Create Inspection lot,4.2.5.4 Monitor quality of product delivered (Series Inspection) 1.00,2,"If DMR is applicable, inspection plan should contain DMR",Fiori QA01: Create Inspection Lot (Application)
Create inspection method,4.1.8.1F Inspection method 1.00,4,,Fiori QS31: Create Inspection Method for Quality Planner (Application)
Create Inspection Plan,4.2.3.99 -iPLM Sourcing Preparation Ticket 1.00,13,,
Create IT Whitelist/IR request,2.1.4.6 Manage product/material classification (Create New Product Hierarchy) 1.00,9,"Submit an IT Whitelist/IR request to update the values available in the Product Hierarchy list to include the new code name.
1) The request should start with: ""Assign to IT PLM Team/IT Whitelist
2) Process ""Provide Product Hierarchy DESCRIPTION only as ""smart"" numbering is not being used any longer.
3) Attach email approval from CRM Project Manager.
4a) SAP PLM ER: Document the IR/CR number in the Notes tab of the Create Product Hierarchy task.
4b) Future system: TBD",Smart Service Desk (Application)
Create Master Inspection Characteristic,4.1.8.1A Master Inspection Characteristic 1.00,11,Create Master Inspection Characteristic,Fiori QS21: Create Master Inspection Characteristic for Quality Planner (Application)
Create Master Inspection Characteristic,4.1.8.1A Master Inspection Characteristic 1.00,24,Create Master Inspection Characteristic,Fiori QS21: Create Master Inspection Characteristic for Quality Planner (Application)
Create Material Master for crate of type VERP,4.4.3.4.1 Design Re-Usable Crate 1.00,14,,Fiori MM01: Create Material (Application)
Create MDM request to change MM Procurement Key to: F30 Special Procurement,4.2.4.3 Solicit/Track Vendor Quotes 3.00,30,,"HaloITSM MDM (Master Data Management) (Application),
K2 (Workflow application) (Application)"
Create monthly inventory reconciliation report,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,9,"Key action(s):
Create monthly inventory reconciliation report
Monthly inventory reconciliation report to tie sub-ledger to General Ledger",
Create MRP Change Request,4.2.4.4B Distribute Purchase Order 2.00,27,,SAP ZMM_MRP_CR: MRP Change Request (Application)
Create NC activity in Mobile APP/FSM,5.3.2.6F Initiate NC/ RMA Return 4.00,6,"Key Activities:
FSE to create Non Conforming Acitvities in FSM",SAP FSM: Field Service Management (Application)
Create NC Operation inside Service Order,5.3.2.6F Initiate NC/ RMA Return 4.00,8,,Fiori IW32: Change Maintenance Order (Application)
Create new Bank Master,9.7.3.1 -MSTR Manage in-house bank accounts for subsidiaries (Manage Bank Master) 2.00,25,MDM create the new Bank Master in the system.,"Fiori F1574: Manage Banks for Cash Manager - DEPRECATED (Application),
Fiori FI01: Create Bank (Application),
SAP ZBANKMDEXP: Bank Master Data (Application)"
Create New Characteristics IT Change Request,4.2.5.1 Monitor Manage supplier information 2.00,16,,Halo (workflow application details TBD) (Application)
Create new internal order,9.1.3.1 -IO Determine key cost drivers (Maintain Internal Order) 1.00,5,"Upon receiving the approval, master data team would create the relevant cost driver / object in the system.
For Internal order, internal order group will be updated to accommodate the new internal order created.
If Internal order is being used in allocation rule, it is linked to process 9.1.3.2 to update the allocation rule.
Once it’s completed, GL Accountant would inform the requester on the completion of the request.",Fiori KO01: Create Internal Order for Cost Accountant - Overhead (Application)
Create new Materials,4.1.3.1 -FCST Create Unconstrained Plan 3.00,36,,Fiori MM01: Create Material (Application)
Create new Purchase Order,4.2.4.4A Create/Distribute Purchase Orders 2.00,30,"Function available for auto-creation. Needs to be selected which items use ZME59N auto, or manual conversion (can be changed in ZME59N).","Fiori ME21N: Create Purchase Order. Create Purchase Order - Advanced (Application),
Fiori ME22N: Change Purchase Order. Change Purchase Order - Advanced (Application),
SAP ZME59N: Automatic Creation of Purchase Order (Application)"
Create new supplier characteristics,4.2.5.1 Monitor Manage supplier information 2.00,58,,Fiori CT04: Characteristics. Display Characteristic. Manage Characteristics (Application)
Create new ZMRP Service Order and release,5.3.3.5 -PD>RP Change paid (ZMPD) to non paid (ZMRP) Service Order 1.00,10,,SAP WFM: Work Force Management (Application)
