Tcode Name,Description
Fiori F2424: Monitor Purchase Requisition Items for Purchaser,
Fiori F2428: Results History for Quality Technician,
Fiori F2435: My Dunning Proposals for Accounts Receivable Accountant,
Fiori F2505: Mass Maintenance for Master Data for Master Data Specialist,
Fiori F2507: Select Dispatches and Customer Returns - Intrastat Declaration for Intrastat Specialist,
Fiori F2513: Project Cost Report - Overview for Project Financial Controller - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 06 Sep 2024)"
Fiori F2516: Manage Commodity Codes for Trade Classification Specialist,
Fiori F2517: Manage Intrastat Service Codes for Trade Classification Specialist,
Fiori F2518: Manage Control Classes for Trade Classification Specialist,
Fiori F2547: Verify General Journal Entries for General Ledger Accountant,
Fiori F2551: Supplier Evaluation Weighting and Scoring,
Fiori F2568: Manage Production Versions for Production Engineer - Discrete Manufacturing,
Fiori F2573: Display Group Journal Entries for Group Accountant,
Fiori F2574: Financial Statement Items List for Business Analyst - Group Reporting,
Fiori F2593: Mass Changes to Purchase Orders for Purchaser,
Fiori F2601: Sales Management Overview for Sales Manager,
Fiori F2627: Define Validation Rules for Administrator - Group Reporting,
Fiori F2640: Display Customer List for Accounts Receivable Accountant,
Fiori F2649: Manage Defects for Quality Engineer,
Fiori F2653: Manage Data Validation Tasks for Group Accountant,
Fiori F2655: Define Validation Methods for Administrator - Group Reporting,
Fiori F2667: Mass Changes to Purchasing Info Records for Purchaser,
Fiori F2680: Manage Material Valuations for Cost Accountant - Inventory,
Fiori F2689: Record Results for Inspection Points for Quality Technician,
Fiori F2692: Display Process Flow - Accounts Receivable for Accounts Receivable Accountant,
Fiori F2706: Manage Buffer Levels for Production Planner,Transactional (SAP Fiori elements) \ Lighthouse App
Fiori F2729: Verify Journal Entries in General Ledger - For Processor (Outbox) for General Ledger Accountant,
Fiori F2795: Task Logs for Group Accountant,
Fiori F2810: Manage Control Charts for Quality Engineer,
Fiori F2812: Analytical List Page for Technical Object Breakdown Analysis for Maintenance Planner,
Fiori F2823: Schedule Product Classification (DD) for Production Planner,
Fiori F2825: Mass Maintenance of Products (DD) for Production Planner,
Fiori F2828: Maintenance Planning Overview for Maintenance Planner,
Fiori F2831: Monitor Demand-Driven Replenishment for Production Planner,
Fiori F2832: Planner Overview for Production Planner,
Fiori F2837: Schedule Buffer Proposal Calculation for Production Planner,
Fiori F2856: Currency Translation - Difference Analysis (Design Studio) - DEPRECATED - for Business Analyst - Group Reporting,"Attention:
Deprecated for selected release version (Spotted 05 Sep 2024)"
Fiori F2869: Production Action Log for Quality Engineer (Extended Production Operations),
Fiori F2871: Schedule Lead Time Classification of Products (DD) for Production Planner,
Fiori F2892: Product Genealogy for Quality Engineer (Extended Production Operations),
Fiori F-29: Post Customer Down Payments for Accounts Receivable Accountant,"Attention this transaction contains a DASH
see App ID field in Fiori Apps Reference Library"
Fiori F2914: Manage Quality Levels for Quality Engineer,
Fiori F2915: Quality Level History for Quality Engineer,
Fiori F2917: Accounts Payable Overview for Accounts Payable Manager,
Fiori F2918: Supplier Evaluation Weighting and Scoring for Strategic Buyer,
Fiori F2929: Record Defects for Quality Technician,
Fiori F2947: Manage Situation Types for Configuration Expert - Business Process Configuration,
Fiori F2948: Subcontracting Cockpit for Inventory Manager,
Fiori F2971: Post Group Journal Entries for Group Accountant,
Fiori F2981: Track Sales Order Details for Internal Sales Representative,
Fiori F2988: Monitor Purchasing Info Records Price History for Purchaser,
Fiori F2995: Balance Sheet - By Movements (Design Studio) - DEPRECATED - for Business Analyst - Group Reporting,"Attention:
Deprecated for selected release version (Spotted 05 Sep 2024)"
Fiori F-30: Post with Clearing,
Fiori F3007: Define Master Data for Consolidation Fields for Administrator - Group Reporting,
Fiori F3071: Import Master Data for Consolidation Fields for Administrator - Group Reporting,
Fiori F3073: Import Group Journal Entries for Group Accountant,
Fiori F3075: Technical Object Damages for Maintenance Planner,
Fiori F3096: Asset Accounting Overview for Asset Accountant,
Fiori F3100: Reprocess Failed Materials Movements for Production Supervisor - Discrete Manufacturing (Extended Production Operations),
Fiori F3163: Manage Business Partner Master Data for Master Data Specialist - Business Partner Data,
Fiori F3174: Reuse Result Recording Library for Quality Technician,
Fiori F3250: Process Quality Tasks for Quality Technician,
Fiori F3264: Monitor Situations for Configuration Expert - Business Process Configuration,
Fiori F3276: Demand-Driven Replenishment,
Fiori F3282: Buffer Positioning for Production Planner,
Fiori F3292: Manage Purchase Orders Centrally for Purchaser - Central Procurement,
Fiori F3297: Define Financial Statement Items for Administrator - Group Reporting,
Fiori F3298: Expected Goods Receipt for Receiving Specialist,
Fiori F3302: Reconcile GR/IR Accounts for General Ledger Accountant,
Fiori F3303: Monitor GR/IR Account Reconciliation for General Ledger Accountant,
Fiori F3333: Map FS Items with G/L Accounts for General Ledger Accountant - Group Reporting,
Fiori F3334: Assign FS Item Mappings for General Ledger Accountant - Group Reporting,
Fiori F3335: Import FS Item Mappings for General Ledger Accountant - Group Reporting,
Fiori F3338: Manage Allocations for Cost Accountant - Overhead,
Fiori F3365: Record Inspection Results in Table Form for Quality Technician,
Fiori F3366: Expected Goods Receipt for Receiving Specialist,
Fiori F3381: Manage Quality Tasks for Quality Engineer,
Fiori F3382: Characteristic Detailed Analytics for Quality Engineer,
Fiori F3383: Characteristic Analytics for Quality Engineer,
Fiori F3445: Maintain PIRs for Material Planner - External Procurement,
Fiori F3484: Validation Result Analysis for Business Analyst - Group Reporting,
Fiori F3516: Manage Profit Centers (Version 2) for Divisional Accountant,
Fiori F3548: Run Allocations for Cost Accountant - Overhead,"With this app you can run your allocation cycles. It allows you to perform a test run or actual run of any existing allocation cycle and then display the details of completed runs. You can also reverse a completed run.
You can access the app from the Manage Allocations app or from the Fiori launchpad. When you access this app from Manage Allocations, you go directly to your worklist. When you access the app from the Fiori launchpad, you go directly to the results of your completed allocation runs. Initiate runs for multiple allocation cycles at the same time
Indicate specific periods of sender data to be referenced for top-down distributions
Cumulate sender data from reference periods for top-down distributions
Perform test runs on allocation cycles for a specific period
Analyze the results of completed runs and display any error or warning messages
Display a detailed view of the senders and receivers for a completed run
Navigate directly to the Manage Allocations app to modify allocation cycles or create new ones
Reverse completed live allocation runs
Drag and drop to change order of allocation cycles within the run"
Fiori F3571A: Manage Service Orders (Verions 2) for Customer Service Manager (Customer Management),
Fiori F3583: Nonconformance Detailed Analytics for Quality Engineer,
Fiori F3584: Non-Conformance Analytics for Quality Engineer,
Fiori F3616: Currency Exchange Rates for General Ledger Accountant,
Fiori F3663: Import/Export Validation Settings for Administrator - Group Reporting,
Fiori F3697: Manage Direct Activity Allocation for Cost Accountant - Overhead,
Fiori F3698: Close Progression,
Fiori F3699: Close Delay,
Fiori F-37: Post Customer Down Payment Requests,"Attention this transaction contains a DASH
see App ID field in Fiori Apps Reference Library"
Fiori F3700: Plan Actual Comparison,
Fiori F3701: Omitted Tasks,
Fiori F3702: Erroneous Tasks,
Fiori F3725: Define Selections for Administrator - Group Reporting,
Fiori F3732: Analyze Accrual Postings for General Ledger Accountant,
Fiori F3733: Manage Consolidation Group Structure - Group View for Administrator - Group Reporting,
Fiori F3761: Change Log - Cost Centers for Cost Accountant - Overhead,
Fiori F3766: Manage Consolidation Group Structure - Unit View for Administrator - Group Reporting,
Fiori F3770: Capacity Scheduling Table for Production Planner,
Fiori F3779: Import Statistical Key Figures Plan Data for Cost Accountant - Overhead,
Fiori F3788: Manage Inspection Plans for Quality Planner,
Fiori F3801: Deprecated -Group Data Analysis - with Reporting Rules (Design Studio) for Business Analyst - Group Reporting,
Fiori F3831: Display Group Journal Entries - With Reporting Logic for Group Accountant,
Fiori F3844: Close Evolution,
Fiori F3862: Define Matching Methods for General Ledger Accountant - Intercompany,
Fiori F3863: Define Reconciliation Cases for General Ledger Accountant - Intercompany,
Fiori F3865: Reconciliation Status for General Ledger Accountant - Intercompany,
Fiori F3866: Change Log - Activity Types for Cost Accountant - Overhead,
Fiori F3868: Manage Matching Documents for General Ledger Accountant - Intercompany,
Fiori F3869: Display Matching Items for General Ledger Accountant - Intercompany,
Fiori F3870: Manage Matching Assignments for General Ledger Accountant - Intercompany,
Fiori F3875: Calculate Contract Liabilities and Contract Assets for Revenue Accountant,
Fiori F3876: Start Revenue Posting Run for Revenue Accountant,
Fiori F3877: Repost Revenue Postings for Revenue Accountant,
Fiori F3878: Reverse Revenue Postings for Revenue Accountant,
Fiori F3879: Transfer Revenue for Revenue Accountant,
Fiori F3881: Manual Fulfillment for Revenue Accountant,
Fiori F3882: Manual Fulfillment for Revenue Accountant,
Fiori F3883: Manage Revenue Contracts for Revenue Accountant,
Fiori F3889: Customer Returns - Flexible Analysis (Design Studio) for Sales Manager - DEPRECATED,
Fiori F3915: Manage Statistical Key Figure Values for Cost Accountant - Overhead,
Fiori F3924: Import Consolidation Master Data for Administrator - Group Reporting,
Fiori F3928: Display Purchase Order Accruals for General Ledger Accountant,
Fiori F3934: Process pMRP Simulations for Production Planner,
Fiori F3952: Process pMRP Capacity Simulations for Production Planner,
Fiori F3968: Schedule pMRP Simulation Creation for Production Planner,
Fiori F4004: Manage Bank Chains for Accounts Payable Accountant,
Fiori F4022: Allocation Flow for Cost Accountant - Overhead,
Fiori F4023: Display Line Items - Cost Accounting for Cost Accountant - Overhead,
Fiori F4041: Quality Task Follow-Up Action Parameter Value Help Library for Quality Engineer (Extended Production Operations),
Fiori F4067: Revenue Accounting Overview for Revenue Accountant,
Fiori F4068: Disaggregation of revenue,
Fiori F4069: Combine Revenue Contracts for Revenue Accountant,
Fiori F4089: Combine Revenue Contract,
Fiori F4102: Manage Performance Obligations - DEPRECATED - for Revenue Accountant,"Attention:
Deprecated for selected release version"
Fiori F4154: My Situations for Employee,
Fiori F4157: Multi Level Simulation View for Production Planner,
Fiori F4167: Slow or Non-Moving Materials (Reuse Library),
Fiori F4197: Resolve Internal Problems for Quality Engineer,
Fiori F4270: Manage Revenue Accounting Items for Revenue Accountant,
Fiori F4271: Work List for Conflicted Contracts for Revenue Accountant,
Fiori F4272: Revenue Explanation for Revenue Accountant,
Fiori F4273: Change History for Revenue Accountant,
Fiori F4340: Manage FMEAs for Quality Technician,
Fiori F4363: Allocation Results for Cost Accountant - Overhead,
Fiori F4394: Monitor Mass Changes – Purchasing Info Records,
Fiori F4406: Manage Substitution and Validation Rules for Configuration Expert - Business Process Configuration,
Fiori F4423: Document Flow (Performance Obligation) for Revenue Accountant,
Fiori F4424: Allocated Amount Explanation for Revenue Accountant,
Fiori F4449: Define Flexible Constraints,
Fiori F4450: pMRP Component View,
Fiori F4537: My Situations - Extended for Employee,
Fiori F4584: Explode Bills Of Material for BOM Engineer,
Fiori F4593: pMRP Issue List for Production Planner,
Fiori F4596: Manage Credit Accounts for Credit Controller,
Fiori F4603: Maintenance Order Costs for Maintenance Planner,
Fiori F4613: Group Reporting Master Data Reuse Library for Administrator - Group Reporting,
Fiori F4632: Find Maintenance Orders and Operations for Technical Officer - Armed Forces,
Fiori F4645: Customers Overview for Internal Sales Representative,
Fiori F4683: Balance Carryforward Status for General Ledger Accountant,
Fiori F4685: Define Consolidation Units for Administrator - Group Reporting,
Fiori F-47: Create Supplier Down Payment Requests,"Attention this transaction contains a DASH
see App ID field in Fiori Apps Reference Library"
Fiori F4773: Define Intercompany Posting Rules for General Ledger Accountant - Intercompany,
Fiori F4774: Manage Reconciliation Close for General Ledger Accountant - Intercompany,
Fiori F4785: Manage Substitutions for Master Data Specialist - Product Data,
Fiori F4796: My Area of Responsibility - MRP Controller for Production Planner,
Fiori F-48: Post Supplier Down Payments for Accounts Payable Accountant,
Fiori F4830: Business Reconciliation for Revenue Accountant,
Fiori F4831: Revenue Catch-up - DEPRECATED - for Revenue Accountant,"Attention:
Deprecated for selected release version"
Fiori F4841: Run Business Reconciliation in Background for Revenue Accountant,
Fiori F4886: Substitution/Validation Log for Configuration Expert - Business Process Configuration,
Fiori F4945: Set Substitution/Validation Logging for Configuration Expert - Business Process Configuration,
Fiori F4965: Migrate to Global Hierarchies for General Ledger Accountant,
Fiori F4977: Manage Workflows for Quality Task Processing for Quality Engineer,
Fiori F4993: Manage Workflows - Reconciliation Close Requests for General Ledger Accountant - Intercompany,
Fiori F5000: Approve Reconciliation Close Requests - Inbox for General Ledger Accountant - Intercompany,
Fiori F5010: Application Log - Automatic Adjustment for General Ledger Accountant - Intercompany,
Fiori F5011: Schedule Matching Run Jobs for General Ledger Accountant - Intercompany,
Fiori F5014: Monitor Revenue Contracts for Revenue Accountant,
Fiori F5052: Calculate Revenue Catch-up for Revenue Accountant,
Fiori F-51: Post Journal Entries - With Clearing,
Fiori F5237: Reprocess Contracts for Revenue Accountant,
Fiori F-53: Post Outgoing Payments - For Suppliers,
Fiori F5373: Manage Cost Element Groups for Cost Accountant - Overhead,
Fiori F5381: Mass Maintenance Of Work Center Capacities for Production Planner,
Fiori F-54: Clear Supplier Down Payment,"Attention this transaction contains a DASH
see App ID field in Fiori Apps Reference Library"
Fiori F5416: Create MRP Change Requests or Material Planner - External Procurement,
Fiori F5417: Schedule MRP Rescheduling Checks for Material Planner - External Procurement,
Fiori F5437: Manage Situation Types - Extended for Configuration Expert - Business Process Configuration,
Fiori F5448: Price Allocation for Revenue Accountant,
Fiori F5460: Advanced Scheduling Board,The DS Optimizer application has been integrated with the Advanced Scheduling Board application.The DS Optimizer can be started interactively within the Advanced Scheduling Board application to support the planner in creation of a production plan considering constraints such as limited capacity or requirement due dates. Read more inApp Documentation Learn more about solution capability:Constraint-Based Production Planning (S/4)
Fiori F5602: Manage Credit Limit Requests,
Fiori F5609: Manage Situation Objects for Extensibility Specialist,
Fiori F5697: Situation Handling Demo for Configuration Expert - Business Process Configuration,
Fiori F5698: Manage Situation Scenarios for Extensibility Specialist,
Fiori F5728: Clean Up Productive Data for Revenue Accountant,
Fiori F5764: Verify Intercompany Variance Adjmt for General Ledger Accountant - Intercompany,
Fiori F5765: Schedule Training Jobs - Intelligent Intercompany Document Matching for General Ledger Accountant - Intercompany,
Fiori F5766: Manage Workflows - Intercompany Variance Adjustment for General Ledger Accountant - Intercompany,
Fiori F5773: Schedule Inference Jobs - Intelligent Intercompany Document Matching - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 06 Sep 2024)"
Fiori F-58: Post Supplier Outgoing Payments - With Print,
Fiori F5865: Order Genealogy or Quality Engineer (Extended Production Operations,
Fiori F5987: Manage Sales Contracts - Version 2,
Fiori F6122: Manual Spreading for Revenue Accountant,
Fiori F6175: Manage Work Centers,
Fiori F6242: Replenishment Execution for Production Planner,
Fiori F6497: Project Claim Overview for Project Financial Controller,
Fiori F-65: Park Journal Entries,
Fiori F6740: Manage Condition Contracts - Supplier Rebates for Contract Manager - Settlement Management,
Fiori F6780: Monitor Situations - Extended for Configuration Expert - Business Process Configuration,
Fiori F6968: Manage Substitution and Validation - For Asset Master Data,
Fiori F7204: Manage Business Partners - Governance for Master Data Specialist - Business Partner Data,
Fiori F7669: Schedule Matching Run Jobs - By Company for General Ledger Accountant - Intercompany,
Fiori F7670: Schedule Matching Run Jobs - By Consolidation Unit for General Ledger Accountant - Intercompany,
Fiori F7697: Display Journal Entries for General Ledger Accountant,
Fiori F-92: Post Retirement (Integrated AR) - With Customer for Asset Accountant,"Attention this transaction contains a DASH
see App ID field in Fiori Apps Reference Library"
"Fiori FAA_CMP: Execute/Undo Year-End Closing, Make Company Code Settings - Asset Accounting-Specific for Asset Accountant",
Fiori FACRAAPPRVGL: Approve Periodic Accruals – G/L Accountants,
Fiori FACRARVWCO: Review Periodic Accruals – Controllers,
Fiori FAGL_FC_TRANS: Perform Currency Translation of Balances,
Fiori FAGL_FCV: Perform Foreign Currency Valuation for General Ledger Accountant,
Fiori FAGL_FR_03: Post Opening Balances - France for General Ledger Accountant for France,
Fiori FAGLB03: Display G/L Account Balances - For Ledger,
Fiori FAGLF101: Regroup Receivables / Payables for General Ledger Accountant,
Fiori FAGLGA13: Display Actual Assessment Cycle G/L for General Ledger Accountant,
Fiori FAGLGA32: Change Actual Distribution Cycle G/L for General Ledger Accountant,
Fiori FAGLGA33: Display Actual Distribution Cycle G/L for General Ledger Accountant,
Fiori FAGLGA35: Execute Actual Distribution G/L for General Ledger Accountant,
Fiori FAGLGVTR: Carry Forward Balances - FAGLGVTR,
Fiori FAGLL03: Display G/L Accounts Line Items - For Ledger,
Fiori FAGLL03H: Display G/L Accounts - Line Items Browser,
Fiori FARR_ACCR_RUN (FARR_ACCR_RUN_AP): Simulate Revenue Posting Run for Revenue Accountant,
Fiori FARR_CLOSE_SM30: Open and Close Revenue Accounting Period,
Fiori FARR_CONTR_CHECK: Data Validation - Revenue Contracts for Administrator - Revenue Accounting,
Fiori FARR_CONTR_COMPLETE: Set Contract to Complete Status,
Fiori FARR_CONTR_MON: Data Validation Monitor for Administrator - Revenue Accounting,
Fiori FARR_CONTRACT_CHG_HISTORY (): Contract change history,
Fiori FARR_CONTRACT_NR: Define Number Ranges for Contracts for Administrator - Revenue Accounting,
Fiori FARR_CONTRACT_SHIFT: Shift Contracts to Next Period for Revenue Accountant,
Fiori FARR_IMG: Implementation Guide for Administrator - Revenue Accounting,
Fiori FARR_JOB_MONITOR (): Revenue Posting Job Monitor,
Fiori FARR_LIAB_RUN: Calculate Contract Liabilities and Contract Assets - DEPRECATED,"Attention:
Deprecated"
Fiori FARR_LIABILITY_CALC: Calculate Contract Liabilities and Contract Assets (Obsolete),
Fiori FARR_POB_NR: Define Number Ranges for POBs for Administrator - Revenue Accounting,
Fiori FARR_RAPR_PPRAI: Reprocess Postponed RAR Data,
Fiori FARR_RECON_FI_USER: Journal Entries by Contract for Revenue Accountant,
Fiori FARR_RECON_PST_GL: Reconciliation - Subledger and G/L,
Fiori FARR_REPR_ACCT: Reprocess Account Determination for Revenue Accountant,
Fiori FARR_REV_POST: Start Revenue Posting Run,
Fiori FARR_REV_REP (FARR_REV_REP_AP): Reverse and Repost Revenue Postings for Revenue Accountant,
Fiori FARR_REV_TRANSFER: Transfer Revenue for Revenue Accountant,
Fiori FARR_REVENUE_CATCHUP (FARR_REVENUE_CATCHUP): Revenue Catch-Up for Revenue Accountant,
Fiori FARR_ROUNDING_CALC: Calculate Rounding Difference for Revenue Accountant,
Fiori FARR_RUN_ID_NR: Define Number Ranges for Run IDs for Administrator - Revenue Accounting,
Fiori FARR_SHIFT_HISTORY_AUDIT (FARR_SHIFT_HISTORY_AUDIT_AC): Display Shifted and Suspended Revenue History for Revenue Accountant,
Fiori FB00: Maintain Accounting Editing Options,
Fiori FB01: Post Document. Post Journal Entries,
Fiori FB01L: Post Journal Entries - For Ledger Group,
Fiori FB02: Change Document,
Fiori FB03: Display Document. Display Journal Entries,
Fiori FB03L: Display Journal Entries - For Ledger,
Fiori FB04: Display Journal Entry Changes,
Fiori FB05: Post with Clearing for Cash Management Specialist for China,
Fiori FB08: Reverse Document,
Fiori FB09: Change Line Items,
Fiori FB1SL: Clear G/L Accounts - For Ledger Group for General Ledger Accountant,
Fiori FB41: Post Tax Payables - FB41,
Fiori FB50: Post General Journal Entries - FB50,
Fiori FB50L: Post General Journal Entries - For Ledger Group (FB50L),
Fiori FB60: Create Incoming Invoices for Accounts Payable Accountant,
Fiori FB70: Create Outgoing Invoices for Accounts Receivable Accountant,
Fiori FBB1: Post Foreign Currency Italy,
Fiori FBCJ: Post Cash Journal Entries for General Ledger Accountant,
Fiori FBD1: Enter Recurring Entry,
Fiori FBD2: Change Recurring Entry,
Fiori FBD3: Display Recurring Entry,
Fiori FBL1N: Manage Supplier Line Items,
Fiori FBL3N: Display G/L Account Line Items,
Fiori FBL5H: Manage Customer Line Items - FBL5H,
Fiori FBL5N: Manage Customer Line Items - FBL5N,
Fiori FBR2: FBR2,
Fiori FBRA: Reset Cleared Items - FBRA,
Fiori FBS1: Enter Accrual/Deferral Journal Entry,
Fiori FBU2: Change Journal Entries - Cross-Company Code for General Ledger Accountant,
Fiori FBU3: Display Journal Entries - Cross-Company Code for General Ledger Accountant,
Fiori FBU8: Reverse Journal Entries - Cross-Company Code for General Ledger Accountant,
Fiori FBUB: Reverse Journal Entries - Cross-Company Code for General Ledger Accountant,
Fiori FBV0: Post Parked Journal Entries,
Fiori FBV2: Change Parked Journal Entries,
Fiori FBV3: Display Parked Journal Entries,
Fiori FBV4: Change Parked Journal Entries - Header,
Fiori FBV5: Parked Journal Entry Changes for General Ledger Accountant,
Fiori FBZ0: Edit Payment Proposals,
"Fiori FBZ3: Post Incoming Payments - For Customers Fast Entry, Post Incoming Payments - For Suppliers Fast Entry",
Fiori FBZ5: Print Payment Form - DEPRECATED - for Accounts Payable Accountant,
Fiori FBZ8: Display Payment Proposals,
Fiori FCH1: Display Checks,
Fiori FCH6: Change Cashed Checks,
Fiori FCH8: Void Canceled Payments,
Fiori FCHG: Reset Checks,
Fiori FCHI: Manage Check Lots,
Fiori FCHR: Change Online Cashed Checks,
Fiori FCKR: Import and Post Cashed Checks for Cash Management Specialist,
Fiori FCLOCO: Process Closing Tasks (Classic) - SAP S/4HANA Financial Closing cockpit,
Fiori FCLOCOC: Manage Task Templates - SAP S/4HANA Financial Closing cockpit,
Fiori FCLOCOT: Release Closing Cockpit Task Lists - SAP S/4HANA Financial Closing cockpit,
Fiori FD10N: Display Customer Balances,
Fiori FEBA_CHECK_DEPOSIT: Reprocess Incoming Checks - From Check Deposit for Cash Management Specialist,
Fiori FEBP: Post Bank Statements,
Fiori FF.5: Upload Bank Statements - Using Format Selection,
Fiori FF.6: Display Bank Statements - Using Format selection,
Fiori FF_5: Upload Bank Statements,
Fiori FF_6: Display Bank Statements,
Fiori FF67: Create Bank Statements,
Fiori FF68: Manage Check Deposits for Cash Management Specialist,
Fiori FFB4: Upload Electronic Check Deposits for Cash Management Specialist,
Fiori FFB5: Post Electronic Check Deposits for Cash Management Specialist,
Fiori FI01: Create Bank,
Fiori FI02: Change Banks,
Fiori FI04: Display Bank Changes,
Fiori FI06: Set Flags to Delete Banks,
Fiori FI12_HBANK: Manage House Banks,
Fiori FINCS_IU: Define Interunit Reconciliation Thresholds - Restricted Use,
Fiori FINCS_RIASSG: Assignment for Reporting Item,
Fiori FINCS_RRLVS: Assign Reporting Rules to Versions,
Fiori FINCS_RRULE: Define Reporting Rules,
Fiori FINCS_SELECTION_DIS: Display Selections - Obsolete,
Fiori FINCS_UPL_EXEC: Flexible Upload of Reported Financial Data,
Fiori FK09: Confirm Vendor List (Accounting),
Fiori FK10N: Display Supplier Balances,
Fiori FS00: Edit G/L Account - Central View,
Fiori FS02: Manage G/L Account Master Data for General Ledger Accountant,
Fiori FS04: G/L Account Changes - Central View for General Ledger Accountant,
Fiori FS15: Copy G/L Account Master Data - Send,
Fiori FSE3: Display Financial Statement Versions for General Ledger Accountant,
Fiori FSE3_XBRL: Display Financial Statement Versions,
Fiori FSP0: Edit G/L Account - Chart of Accounts View,
Fiori FSP4: G/L Account Changes - Chart of Accounts View for General Ledger Accountant,
Fiori FSS4: G/L Account Changes - Company Code View for General Ledger Accountant,
Fiori FSSO: Edit G/L Account - Company Code View,
Fiori FTE_BSM: Bank Statement Monitor,
Fiori FTXP: Overview,
Fiori FV50: Park General Journal Entries,
Fiori HUMO: HU Monitor,
Fiori IA01: Create Equipment Task List,
Fiori IA02: Change Equipment Task List,
Fiori IA03: Display Equipment Task List,
Fiori IA05: Create general task list,
Fiori IA06: Change General Maintenance Task List,
Fiori IA07: Display General Task List,
Fiori IA08: Change PM Task Lists,
Fiori IA09: Display Task Lists,
Fiori IA10: Display Task Lists (Multilevel),
Fiori IA11: Create FunctLoc Task List,
Fiori IA12: Change FunctLoc Task List,
Fiori IA13: Display FunctLoc Task List,
Fiori IB03: Display Equipment BOM,
Fiori IB13: Display Functional Location BOM,
Fiori IB80: Change Documents for Equipment BOM,
Fiori IE01: Create Equipment for Technical Officer - Armed Forces,
Fiori IE02: Change Equipment for Technical Officer - Armed Forces,
Fiori IE03: Display Equipment for Technical Officer - Armed Forces,
Fiori IE05: Change Equipment - Mass Change,
Fiori IE07: Equipment List (Multi-level),
Fiori IE08: Create Equipment,
Fiori IE10: Multiple Equipment Entry,
Fiori IH01: Functional Location Structure,
Fiori IH03: Equipment Structure - IH03,
Fiori IH04: Equipment Structure - IH04,
Fiori IH05: Material Structure,
Fiori IH06: Display Functional Location,
Fiori IH07: Display Reference Location,
Fiori IH08: Display Equipment,
Fiori IH09: Display Material,
Fiori IH12: FunctLocation Structure,
Fiori IK01: Create Measuring Point,
Fiori IK02: Change Measuring Point,
Fiori IK03: Display Measuring Point (IK03),
Fiori IK05: Change Measuring Points for Object,
Fiori IK06: Display Measuring Points for Object,
Fiori IK07: Display Measuring Points,
Fiori IK11: Create Measuring Document,
Fiori IK12: Change Measurement Document,
Fiori IK13: Display Measurement Document (IK13),
Fiori IK17: Display Measurement Documents,
Fiori IK18: Change Measurement Documents for Maintenance Supervisor,
Fiori IL01: Create Functional Location for Technical Officer - Armed Forces,
Fiori IL02: Change Functional Location for Technical Officer - Armed Forces,
Fiori IL03: Display Functional Location (IL03) for Technical Officer - Armed Forces,
Fiori IL05: Change Functional Location - Mass Change,
Fiori IL06: Transfer Data from Functional Location,
Fiori IL07: Funct. Location List (Multi-Level),
Fiori IL08: Create Functional Location,
Fiori IL09: User Profile for Labeling,
Fiori IN03: Display Object Link for Maintenance Planner,
Fiori IP01: Create Maintenance Plan,
Fiori IP02: Change Maintenance Plan for Service Planner - Recurring Service,
Fiori IP03: Display Maintenance Plan (IP03),
Fiori IP10: Schedule Maintenance Plan,
Fiori IP11U: Rescheduling of Maintenance Plans,
Fiori IP24: Scheduling overview list form,
Fiori IP41: Add single plan for Service Planner - Recurring Service,
Fiori IP43: Add multiple counter plan for Service Manager,
Fiori IP51: Maintenance contract item lists,
Fiori IQ02: Change Material Serial Number,
Fiori IQ03: Display Material Serial Number - IQ03,
Fiori IQ08: Change Material Serial Number,
Fiori IQ09: Display Material Serial Number ( List ) - IQ09,
Fiori IQS1: Create Notification - Extended View,
Fiori IQS12: Process Task,
Fiori IQS13: Display Task,
Fiori IQS2: Change Notification - Extended View,
Fiori IQS21: Create Notification,
Fiori IQS22: Change Notification,
Fiori IQS23: Display Notification,
Fiori IQS3: Display Notification - Extended View,
Fiori IQS8: Process Notifications - Worklist,
Fiori IQS9: Process Notification Tasks - Worklist,
Fiori IW12: Document flow list,
Fiori IW13: Material Where-used List,
Fiori IW28: Change Notifications,
Fiori IW29: Display Notifications,
Fiori IW30: Notification List (Multi-Level) for Technical Officer - Armed Forces,
Fiori IW31: Create Order,
Fiori IW32: Change Maintenance Order,
Fiori IW33: Display PM Order (IW33),
Fiori IW37: Change Operations,
Fiori IW37N: Change Orders and Operations,
Fiori IW38: Change PM Orders,
Fiori IW39: Display PM orders,
Fiori IW3K: Change order component list,
Fiori IW3L: Display Order Component List,
Fiori IW3M: List of Goods Movements for Order,
Fiori IW40: Display Orders (Multi-Level),
Fiori IW40N: Display Operation Cost Overview - Orders,
Fiori IW41: Enter PM Order Confirmation for Customer Service Manager (Customer Management),
Fiori IW42: Overall Completion Confirmation,
Fiori IW43: Display PM Order Confirmation (IW43),
Fiori IW44: PM Order Collective Confirmation,
Fiori IW45: Cancel PM Order Confirmation for Maintenance Planner,
Fiori IW46: Postprocessing Incorrect Confirmations for Maintenance Planner,
Fiori IW47: Confirmation List,
Fiori IW48: Confirmation using operation list,
Fiori IW49: Display Operations - DEPRECATED,"Attention:
Status: Deprecated for selected release version
(2024/08/12 Acc to: App details by SAP Fiori Apps Reference Library - see Attachments -)"
Fiori IW49N: Display Orders and Operations,
Fiori IW51: Create Service Notification-General,
Fiori IW52: Change Service Notification,
Fiori IW53: Display Service Notification,
Fiori IW57: Set Deletion Flag For Notification,
Fiori IW58: Change Service Notification List,
